### Company : docusign.txt ###
Question 1 | Answer 1 | Justification This Privacy Policy sets out how DocuSign, Inc. and its group of companies ( us, our, or we ) collect and use personal information from customers and other individuals (collectively "you") who access or use our websites, including docusign.com and docusign.net, our mobile applications, our web client or professional client, and or any of our other sites, products, or services that link to this Privacy Policy (the Services ).
Question 2 | Answer 1 | Justification Unless otherwise defined in this DPA, capitalized terms will have the meaning given to them in the Agreement.
Question 3 | Answer 1 | Justification DocuSign has adopted Binding Corporate Rules to facilitate the transfer of personal information from the EEA to DocuSign outside of the EEA.
Question 4 | Answer 0 | Justification DocuSign has adopted Binding Corporate Rules to facilitate the transfer of personal information from the EEA to DocuSign outside of the EEA.
Question 5 | Answer 0 | Justification 
Question 6 | Answer 0 | Justification 
Question 7 | Answer 0 | Justification 
Question 8 | Answer 1 | Justification DocuSign has adopted Binding Corporate Rules to facilitate the transfer of personal information from the EEA to DocuSign outside of the EEA.
Question 9 | Answer 840 | Justification You represent and warrant that you are: (a) of legal age (18 years of age or older or otherwise of legal age in your resident jurisdiction) and competent to agree to these Terms; and (b) you (or your Authorized Users, as applicable) are not and will not when using the Site be located in, under the control of, or a national or resident of a usa embargoed country or territory and are not a prohibited end user under Export Control Laws (as defined in Section 12.3).
Question 10 | Answer 0 | Justification You represent and warrant that you are: (a) of legal age (18 years of age or older or otherwise of legal age in your resident jurisdiction) and competent to agree to these Terms; and (b) you (or your Authorized Users, as applicable) are not and will not when using the Site be located in, under the control of, or a national or resident of a usa embargoed country or territory and are not a prohibited end user under Export Control Laws (as defined in Section 12.3).
Question 11 | Answer 840 | Justification You represent and warrant that you are: (a) of legal age (18 years of age or older or otherwise of legal age in your resident jurisdiction) and competent to agree to these Terms; and (b) you (or your Authorized Users, as applicable) are not and will not when using the Site be located in, under the control of, or a national or resident of a usa embargoed country or territory and are not a prohibited end user under Export Control Laws (as defined in Section 12.3).
Question 12 | Answer 0 | Justification You represent and warrant that you are: (a) of legal age (18 years of age or older or otherwise of legal age in your resident jurisdiction) and competent to agree to these Terms; and (b) you (or your Authorized Users, as applicable) are not and will not when using the Site be located in, under the control of, or a national or resident of a usa embargoed country or territory and are not a prohibited end user under Export Control Laws (as defined in Section 12.3).
Question 13 | Answer 0 | Justification ['']
Question 14 | Answer 1 | Justification Here are some examples of how we use the personal information we process: Provide you with the Services and products you request and collect payments Send you records of our relationship, including for purchases or other events Market features, products, or special events using email or phone or send you marketing communications about third party products and services we think may be of interest to you Record details about what happens with electronic documents, such as who viewed or signed, the devices used and when these events occur Run sweepstakes, contests, and refer-a-friend programs Choose and deliver content and tailored advertising, and support the marketing and advertising of our Services Create and review data about our users and how they use our Services Test changes in our Services and develop new features and products Fix problems you may have with our Services, including answering support questions and resolving disputes Manage the Services platform including support systems and security Prevent, investigate and respond to: fraud, unauthorized access to or use of our Services, breaches of terms and policies, or other wrongful behavior Comply with legal obligations Meet legal retention periods Other Uses.
Question 15 | Answer 1 | Justification Some examples include: IP address Precise geolocation information that you allow our apps to access (usually from your mobile device) Unique device identifiers and device attributes, like operating system and browser type Usage data, such as: web log data, referring and exit pages and URLs, platform type, number of clicks, domain names, landing pages, pages and content viewed and the order of those pages, the amount of time spent on particular pages, the date and time you used our Services, the frequency of your use of our Services, error logs, and other similar information Transactional data, such as: names and email addresses of parties to a transaction, subject line, history of actions that individuals take on a transaction(e.g. review, sign, enable features) and personal information about those individuals or their devices, such as name, email address, IP address, and authentication methods Cookies and Related Technologies.
Question 16 | Answer 1 | Justification DocuSign s core product and Services help users create, complete, and show the validity of digital or electronic transactions, such as electronically signing a contract for mobile phone services or placing a digital signature on a loan application.
Question 17 | Answer 1 | Justification California residents may ask for a list of third parties that have received your personal information for direct marketing purposes during the previous calendar year.
Question 18 | Answer 0 | Justification With respect to Personal Data Processed by DocuSign or DocuSign Affiliate as a Processor on behalf of Customer or Customer Affiliate or as a Subprocessor where Customer Processes such Personal Data on behalf of its customers (or both), DocuSign will: (a) Process Personal Data only as necessary to provide the Services in accordance with the terms of the Agreement or as instructed by Customer in writing, including in electronic form, and consistent with the terms of the Agreement; and (b) not disclose Personal Data to third parties except: (i) to employees, service providers, or advisers who have a need to know the Personal Data and are under confidentiality obligations at least as restrictive as those described under this DPA or (ii) as required to comply with valid legal process in accordance with the terms of the Agreement.
Question 19 | Answer 0 | Justification With respect to Personal Data Processed by DocuSign or DocuSign Affiliate as a Processor on behalf of Customer or Customer Affiliate or as a Subprocessor where Customer Processes such Personal Data on behalf of its customers (or both), DocuSign will: (a) Process Personal Data only as necessary to provide the Services in accordance with the terms of the Agreement or as instructed by Customer in writing, including in electronic form, and consistent with the terms of the Agreement; and (b) not disclose Personal Data to third parties except: (i) to employees, service providers, or advisers who have a need to know the Personal Data and are under confidentiality obligations at least as restrictive as those described under this DPA or (ii) as required to comply with valid legal process in accordance with the terms of the Agreement.
Question 20 | Answer 0 | Justification With respect to Personal Data Processed by DocuSign or DocuSign Affiliate as a Processor on behalf of Customer or Customer Affiliate or as a Subprocessor where Customer Processes such Personal Data on behalf of its customers (or both), DocuSign will: (a) Process Personal Data only as necessary to provide the Services in accordance with the terms of the Agreement or as instructed by Customer in writing, including in electronic form, and consistent with the terms of the Agreement; and (b) not disclose Personal Data to third parties except: (i) to employees, service providers, or advisers who have a need to know the Personal Data and are under confidentiality obligations at least as restrictive as those described under this DPA or (ii) as required to comply with valid legal process in accordance with the terms of the Agreement.
